onset	duration	trial_type	response_time	stim_file
0.0153729915618896	2.0670690536499023	11.0	0.0005371570587158	Belly dance/v_Belly dance_id_OV8nyhRh4hQ_start_50.0_label_1.mp4
4.014930009841919	2.0003459453582764	25.0	0.0006461143493652	Cheerleading/v_Cheerleading_id__rEFDyzpfIU_start_48.0_label_1.mp4
8.014606952667236	2.000633001327514	165.0	0.0007030963897705	Using the monkey bar/v_Using the monkey bar_id_4M0qz51BIT0_start_51.5_label_1.mp4
12.01432204246521	2.0002188682556152	40.0	0.0	Doing karate/v_Doing karate_id_C_NaKfb0XuI_start_117.0_label_1.mp4
16.013935089111328	2.000424861907959	113.0	0.0005309581756591	Playing violin/v_Playing violin_id_axa5T4NzYyE_start_76.5_label_1.mp4
24.01395392417908	2.0330381393432617	66.0	0.0006189346313476	Hula hoop/v_Hula hoop_id_NhavWKC4OFI_start_86.5_label_1.mp4
28.012943029403687	2.000269889831543	13.0	0.0005640983581542	Braiding hair/v_Braiding hair_id_D35xWWjj_zs_start_62.0_label_1.mp4
32.01261806488037	2.000511884689331	152.0	0.0005531311035156	Surfing/v_Surfing_id_XjntRHiVTn4_start_38.5_label_1.mp4
36.01225709915161	2.0003678798675537	100.0	0.0007119178771972	Playing flauta/v_Playing flauta_id_8RBAGituTzk_start_37.0_label_1.mp4
40.01197791099548	2.0008602142333984	129.0	0.000727891921997	Rollerblading/v_Rollerblading_id_YIbfxy3ag8Q_start_74.5_label_1.mp4
48.01126289367676	2.034168004989624	43.0	0.0005950927734375	Doing nails/v_Doing nails_id_BMvGjYL5C4E_start_60.0_label_1.mp4
52.01092195510864	2.033903121948242	2.0	0.0006971359252929	Arm wrestling/v_Arm wrestling_id_ED1qWcEOqYk_start_53.0_label_1.mp4
56.010579109191895	2.0169990062713623	179.0	0.0004088878631591	Wrapping presents/v_Wrapping presents_id_m6YrZxmc8ek_start_20.5_label_1.mp4
60.01024103164673	2.0171120166778564	5.0	0.0005450248718261	Baking cookies/v_Baking cookies_id_Fc6sgbMj088_start_23.5_label_1.mp4
64.00989603996277	2.0182180404663086	125.0	0.0005791187286376	Raking leaves/v_Raking leaves_id_AcUrn5kjMbg_start_7.5_label_1.mp4
72.00930190086365	2.0003762245178223	28.0	0.0005698204040527	Cleaning shoes/v_Cleaning shoes_id_cZmeHb1K9aw_start_6.5_label_1.mp4
76.00890612602234	2.016953945159912	70.0	0.0	Javelin throw/v_Javelin throw_id_abytt5Ri5z8_start_2.5_label_1.mp4
80.00857710838318	2.017108917236328	97.0	0.000568151473999	Playing congas/v_Playing congas_id__qrTt2WkIZ0_start_8.5_label_1.mp4
84.00823092460632	2.017116069793701	173.0	0.0005409717559814	Washing dishes/v_Washing dishes_id_g98A_xLnl4Q_start_48.5_label_1.mp4
88.00743889808655	2.0175561904907227	18.0	0.0005390644073486	Bullfighting/v_Bullfighting_id_0fbGIifwJ78_start_69.0_label_1.mp4
96.00736808776855	2.0003459453582764	19.0	0.0006120204925537	Bungee jumping/v_Bungee jumping_id_Yv4vpvLdq40_start_152.0_label_1.mp4
100.02360796928406	2.0002620220184326	53.0	0.000601053237915	Getting a piercing/v_Getting a piercing_id_QL92slVTH-c_start_82.0_label_1.mp4
104.00613689422607	2.017548084259033	158.0	0.0006000995635986	Throwing darts/v_Throwing darts_id_nu1EsN6j1IE_start_9.5_label_1.mp4
108.0229139328003	2.000152111053467	62.0	0.0005748271942138	High jump/v_High jump_id_B2-09Dthofo_start_46.0_label_1.mp4
112.0225760936737	2.000385999679565	167.0	0.0005738735198974	Using the rowing machine/v_Using the rowing machine_id_Ikb3I91gWbQ_start_42.0_label_1.mp4
120.0218698978424	1.9841270446777344	126.0	0.0	Riding bumper cars/v_Riding bumper cars_id_nNF3EvrWo1U_start_73.5_label_1.mp4
124.02158999443054	2.000447988510132	161.0	0.000601053237915	Tug of war/v_Tug of war_id_ODqUpzUOnyQ_start_4.0_label_1.mp4
128.021222114563	2.0002458095550537	3.0	0.000615119934082	Assembling bicycle/v_Assembling bicycle_id_Hp-KTj8lQtg_start_30.0_label_1.mp4
132.02094101905823	2.0003678798675537	73.0	0.0004999637603759	Kneeling/v_Kneeling_id_oXODfSZ_7gw_start_8.5_label_1.mp4
136.02054810523987	2.0009748935699463	178.0	0.0006279945373535	Windsurfing/v_Windsurfing_id_6SHHJGEL5T8_start_25.0_label_1.mp4
144.01990699768066	2.000394105911255	103.0	0.0005500316619873	Playing ice hockey/v_Playing ice hockey_id_zV44423jZao_start_79.0_label_1.mp4
148.01957201957703	2.00023889541626	76.0	0.0006999969482421	Long jump/v_Long jump_id_O4hFA-d83zI_start_5.0_label_1.mp4
152.01922392845154	2.0003881454467773	74.0	0.0005178451538085	Knitting/v_Knitting_id_FEFqaiQRny8_start_28.5_label_1.mp4
156.01886105537417	2.0004689693450928	84.0	0.0007159709930419	Mowing the lawn/v_Mowing the lawn_id_hAAv1g2uET8_start_43.0_label_1.mp4
160.01847910881042	2.0339269638061523	68.0	0.0005979537963867	Ice fishing/v_Ice fishing_id_upn5CFgfnso_start_59.0_label_1.mp4
168.01790690422058	2.000466108322144	124.0	0.0005619525909423	Rafting/v_Rafting_id_4o8qCs17j7I_start_4.0_label_1.mp4
172.01751804351807	2.0004119873046875	49.0	0.0005888938903808	Fixing the roof/v_Fixing the roof_id_6EFuuyqS4eA_start_58.5_label_1.mp4
176.01716899871826	2.00039291381836	114.0	0.0005228519439697	Playing water polo/v_Playing water polo_id_M6lYZFgw7dI_start_37.5_label_1.mp4
180.01688694953918	2.0005040168762207	139.0	0.0004560947418212	Skateboarding/v_Skateboarding_id_LGpqDl1Ygrg_start_27.5_label_1.mp4
184.01647305488584	2.0004689693450928	146.0	0.0006580352783203	Snowboarding/v_Snowboarding_id_YBc7nEqh7aw_start_45.0_label_1.mp4
192.0158450603485	2.0005178451538086	115.0	0.1633100509643554	Pole vault/v_Pole vault_id_BRIiUz9G-9c_start_12.5_label_1.mp4
196.01582312583923	1.999942779541016	9.0	0.0004291534423828	Beach soccer/v_Beach soccer_id_DiSUTSwlSX0_start_84.0_label_1.mp4
200.01516199111936	2.0003130435943604	15.0	0.0006189346313476	Brushing hair/v_Brushing hair_id_KW__w7KtpGE_start_167.0_label_1.mp4
204.01478910446167	2.000403881072998	35.0	0.0004928112030029	Disc dog/v_Disc dog_id_eaPuCUS9ozc_start_33.5_label_1.mp4
208.01444792747495	2.000209093093872	141.0	0.0005199909210205	Slacklining/v_Slacklining_id_pOfAoq4xkJg_start_80.0_label_1.mp4
216.01375794410703	2.0005249977111816	147.0	0.0005710124969482	Spinning/v_Spinning_id_r1DsfP2OZhs_start_2.5_label_1.mp4
220.01351404190063	2.000393867492676	92.0	0.0004441738128662	Playing accordion/v_Playing accordion_id_dt1WhxqhHys_start_36.5_label_1.mp4
224.0129280090332	2.033890008926392	175.0	0.0011899471282958	Waterskiing/v_Waterskiing_id_560W6AyW-ZE_start_153.5_label_1.mp4
228.0127229690552	2.000725030899048	75.0	0.0	Laying tile/v_Laying tile_id_BkMpf91LMAE_start_6.0_label_1.mp4
232.01239705085757	2.0007688999176025	8.0	0.000648021697998	Baton twirling/v_Baton twirling_id_SnXdsBd7S8E_start_13.0_label_1.mp4
240.01175904273987	2.00042986869812	150.0	0.0007221698760986	Starting a campfire/v_Starting a campfire_id_OaicIoDPkhA_start_45.5_label_1.mp4
244.01142406463623	1.9998798370361328	106.0	0.0005359649658203	Playing piano/v_Playing piano_id_xKl2JfnYnO0_start_8.0_label_1.mp4
248.0111711025238	2.000173807144165	151.0	0.0006539821624755	Sumo/v_Sumo_id_zpVP2smt1j4_start_58.0_label_1.mp4
252.01105499267575	2.0002341270446777	83.0	0.0008749961853027	Mooping floor/v_Mooping floor_id_K7JxjXgnfzA_start_21.5_label_1.mp4
256.01031398773193	2.000782966613769	118.0	0.0006930828094482	Powerbocking/v_Powerbocking_id_uSeY118TGeE_start_24.5_label_1.mp4
264.00972390174866	2.000630140304565	99.0	0.0008900165557861	Playing field hockey/v_Playing field hockey_id_vawGTBsbMGE_start_37.5_label_1.mp4
268.0093319416046	2.0170719623565674	102.0	0.0007321834564208	Playing harmonica/v_Playing harmonica_id_vg3NC-VrcUs_start_37.0_label_1.mp4
272.0089919567108	2.017132043838501	111.0	0.2015409469604492	Playing saxophone/v_Playing saxophone_id_RVJ88vz799I_start_10.0_label_1.mp4
